model,seed,subject,source_session,target_session,direction,status
eegnet,2,sub-007,ses-01,ses-02,ses-01->ses-02,ok
eegnet,3,sub-007,ses-01,ses-02,ses-01->ses-02,ok
eegnet,4,sub-007,ses-01,ses-02,ses-01->ses-02,ok
deepconvnet,0,sub-007,ses-01,ses-02,ses-01->ses-02,ok
deepconvnet,1,sub-007,ses-01,ses-02,ses-01->ses-02,ok
deepconvnet,2,sub-007,ses-01,ses-02,ses-01->ses-02,ok
deepconvnet,3,sub-007,ses-01,ses-02,ses-01->ses-02,ok
deepconvnet,4,sub-007,ses-01,ses-02,ses-01->ses-02,ok
fbcnet,0,sub-007,ses-01,ses-02,ses-01->ses-02,ok
fbcnet,1,sub-007,ses-01,ses-02,ses-01->ses-02,ok
fbcnet,2,sub-007,ses-01,ses-02,ses-01->ses-02,ok
fbcnet,3,sub-007,ses-01,ses-02,ses-01->ses-02,ok
fbcnet,4,sub-007,ses-01,ses-02,ses-01->ses-02,ok
eegnet,0,sub-007,ses-01,ses-03,ses-01->ses-03,ok
eegnet,1,sub-007,ses-01,ses-03,ses-01->ses-03,ok
eegnet,2,sub-007,ses-01,ses-03,ses-01->ses-03,ok
eegnet,3,sub-007,ses-01,ses-03,ses-01->ses-03,ok
eegnet,4,sub-007,ses-01,ses-03,ses-01->ses-03,ok
deepconvnet,0,sub-007,ses-01,ses-03,ses-01->ses-03,ok
deepconvnet,1,sub-007,ses-01,ses-03,ses-01->ses-03,ok
deepconvnet,2,sub-007,ses-01,ses-03,ses-01->ses-03,ok
deepconvnet,3,sub-007,ses-01,ses-03,ses-01->ses-03,ok
deepconvnet,4,sub-007,ses-01,ses-03,ses-01->ses-03,ok
fbcnet,0,sub-007,ses-01,ses-03,ses-01->ses-03,ok
fbcnet,1,sub-007,ses-01,ses-03,ses-01->ses-03,ok
fbcnet,2,sub-007,ses-01,ses-03,ses-01->ses-03,ok
fbcnet,3,sub-007,ses-01,ses-03,ses-01->ses-03,ok
fbcnet,4,sub-007,ses-01,ses-03,ses-01->ses-03,ok
eegnet,0,sub-007,ses-01,ses-04,ses-01->ses-04,ok
eegnet,1,sub-007,ses-01,ses-04,ses-01->ses-04,ok
eegnet,2,sub-007,ses-01,ses-04,ses-01->ses-04,ok
eegnet,3,sub-007,ses-01,ses-04,ses-01->ses-04,ok
eegnet,4,sub-007,ses-01,ses-04,ses-01->ses-04,ok
deepconvnet,0,sub-007,ses-01,ses-04,ses-01->ses-04,ok
deepconvnet,1,sub-007,ses-01,ses-04,ses-01->ses-04,ok
deepconvnet,2,sub-007,ses-01,ses-04,ses-01->ses-04,ok
deepconvnet,3,sub-007,ses-01,ses-04,ses-01->ses-04,ok
deepconvnet,4,sub-007,ses-01,ses-04,ses-01->ses-04,ok
fbcnet,0,sub-007,ses-01,ses-04,ses-01->ses-04,ok
fbcnet,1,sub-007,ses-01,ses-04,ses-01->ses-04,ok
fbcnet,2,sub-007,ses-01,ses-04,ses-01->ses-04,ok
fbcnet,3,sub-007,ses-01,ses-04,ses-01->ses-04,ok
fbcnet,4,sub-007,ses-01,ses-04,ses-01->ses-04,ok
eegnet,0,sub-007,ses-01,ses-05,ses-01->ses-05,ok
eegnet,1,sub-007,ses-01,ses-05,ses-01->ses-05,ok
eegnet,2,sub-007,ses-01,ses-05,ses-01->ses-05,ok
eegnet,3,sub-007,ses-01,ses-05,ses-01->ses-05,ok
eegnet,4,sub-007,ses-01,ses-05,ses-01->ses-05,ok
deepconvnet,0,sub-007,ses-01,ses-05,ses-01->ses-05,ok
deepconvnet,1,sub-007,ses-01,ses-05,ses-01->ses-05,ok
deepconvnet,2,sub-007,ses-01,ses-05,ses-01->ses-05,ok
deepconvnet,3,sub-007,ses-01,ses-05,ses-01->ses-05,ok
deepconvnet,4,sub-007,ses-01,ses-05,ses-01->ses-05,ok
fbcnet,0,sub-007,ses-01,ses-05,ses-01->ses-05,ok
fbcnet,1,sub-007,ses-01,ses-05,ses-01->ses-05,ok
fbcnet,2,sub-007,ses-01,ses-05,ses-01->ses-05,ok
fbcnet,3,sub-007,ses-01,ses-05,ses-01->ses-05,ok
fbcnet,4,sub-007,ses-01,ses-05,ses-01->ses-05,ok
eegnet,0,sub-007,ses-02,ses-01,ses-02->ses-01,ok
eegnet,1,sub-007,ses-02,ses-01,ses-02->ses-01,ok
eegnet,2,sub-007,ses-02,ses-01,ses-02->ses-01,ok
eegnet,3,sub-007,ses-02,ses-01,ses-02->ses-01,ok
eegnet,4,sub-007,ses-02,ses-01,ses-02->ses-01,ok
deepconvnet,0,sub-007,ses-02,ses-01,ses-02->ses-01,ok
deepconvnet,1,sub-007,ses-02,ses-01,ses-02->ses-01,ok
deepconvnet,2,sub-007,ses-02,ses-01,ses-02->ses-01,ok
deepconvnet,3,sub-007,ses-02,ses-01,ses-02->ses-01,ok
deepconvnet,4,sub-007,ses-02,ses-01,ses-02->ses-01,ok
fbcnet,0,sub-007,ses-02,ses-01,ses-02->ses-01,ok
fbcnet,1,sub-007,ses-02,ses-01,ses-02->ses-01,ok
fbcnet,2,sub-007,ses-02,ses-01,ses-02->ses-01,ok
fbcnet,3,sub-007,ses-02,ses-01,ses-02->ses-01,ok
fbcnet,4,sub-007,ses-02,ses-01,ses-02->ses-01,ok
eegnet,0,sub-007,ses-02,ses-03,ses-02->ses-03,ok
eegnet,1,sub-007,ses-02,ses-03,ses-02->ses-03,ok
eegnet,2,sub-007,ses-02,ses-03,ses-02->ses-03,ok
eegnet,3,sub-007,ses-02,ses-03,ses-02->ses-03,ok
eegnet,4,sub-007,ses-02,ses-03,ses-02->ses-03,ok
deepconvnet,0,sub-007,ses-02,ses-03,ses-02->ses-03,ok
deepconvnet,1,sub-007,ses-02,ses-03,ses-02->ses-03,ok
deepconvnet,2,sub-007,ses-02,ses-03,ses-02->ses-03,ok
deepconvnet,3,sub-007,ses-02,ses-03,ses-02->ses-03,ok
deepconvnet,4,sub-007,ses-02,ses-03,ses-02->ses-03,ok
fbcnet,0,sub-007,ses-02,ses-03,ses-02->ses-03,ok
fbcnet,1,sub-007,ses-02,ses-03,ses-02->ses-03,ok
fbcnet,2,sub-007,ses-02,ses-03,ses-02->ses-03,ok
fbcnet,3,sub-007,ses-02,ses-03,ses-02->ses-03,ok
fbcnet,4,sub-007,ses-02,ses-03,ses-02->ses-03,ok
eegnet,0,sub-007,ses-02,ses-04,ses-02->ses-04,ok
eegnet,1,sub-007,ses-02,ses-04,ses-02->ses-04,ok
eegnet,2,sub-007,ses-02,ses-04,ses-02->ses-04,ok
eegnet,3,sub-007,ses-02,ses-04,ses-02->ses-04,ok
eegnet,4,sub-007,ses-02,ses-04,ses-02->ses-04,ok
deepconvnet,0,sub-007,ses-02,ses-04,ses-02->ses-04,ok
deepconvnet,1,sub-007,ses-02,ses-04,ses-02->ses-04,ok
deepconvnet,2,sub-007,ses-02,ses-04,ses-02->ses-04,ok
deepconvnet,3,sub-007,ses-02,ses-04,ses-02->ses-04,ok
deepconvnet,4,sub-007,ses-02,ses-04,ses-02->ses-04,ok
fbcnet,0,sub-007,ses-02,ses-04,ses-02->ses-04,ok
fbcnet,1,sub-007,ses-02,ses-04,ses-02->ses-04,ok
fbcnet,2,sub-007,ses-02,ses-04,ses-02->ses-04,ok
fbcnet,3,sub-007,ses-02,ses-04,ses-02->ses-04,ok
fbcnet,4,sub-007,ses-02,ses-04,ses-02->ses-04,ok
eegnet,0,sub-007,ses-02,ses-05,ses-02->ses-05,ok
eegnet,1,sub-007,ses-02,ses-05,ses-02->ses-05,ok
eegnet,2,sub-007,ses-02,ses-05,ses-02->ses-05,ok
eegnet,3,sub-007,ses-02,ses-05,ses-02->ses-05,ok
eegnet,4,sub-007,ses-02,ses-05,ses-02->ses-05,ok
deepconvnet,0,sub-007,ses-02,ses-05,ses-02->ses-05,ok
deepconvnet,1,sub-007,ses-02,ses-05,ses-02->ses-05,ok
deepconvnet,2,sub-007,ses-02,ses-05,ses-02->ses-05,ok
deepconvnet,3,sub-007,ses-02,ses-05,ses-02->ses-05,ok
deepconvnet,4,sub-007,ses-02,ses-05,ses-02->ses-05,ok
fbcnet,0,sub-007,ses-02,ses-05,ses-02->ses-05,ok
fbcnet,1,sub-007,ses-02,ses-05,ses-02->ses-05,ok
fbcnet,2,sub-007,ses-02,ses-05,ses-02->ses-05,ok
fbcnet,3,sub-007,ses-02,ses-05,ses-02->ses-05,ok
fbcnet,4,sub-007,ses-02,ses-05,ses-02->ses-05,ok
eegnet,0,sub-007,ses-03,ses-01,ses-03->ses-01,ok
eegnet,1,sub-007,ses-03,ses-01,ses-03->ses-01,ok
eegnet,2,sub-007,ses-03,ses-01,ses-03->ses-01,ok
eegnet,3,sub-007,ses-03,ses-01,ses-03->ses-01,ok
eegnet,4,sub-007,ses-03,ses-01,ses-03->ses-01,ok
deepconvnet,0,sub-007,ses-03,ses-01,ses-03->ses-01,ok
deepconvnet,1,sub-007,ses-03,ses-01,ses-03->ses-01,ok
deepconvnet,2,sub-007,ses-03,ses-01,ses-03->ses-01,ok
deepconvnet,3,sub-007,ses-03,ses-01,ses-03->ses-01,ok
deepconvnet,4,sub-007,ses-03,ses-01,ses-03->ses-01,ok
fbcnet,0,sub-007,ses-03,ses-01,ses-03->ses-01,ok
fbcnet,1,sub-007,ses-03,ses-01,ses-03->ses-01,ok
fbcnet,2,sub-007,ses-03,ses-01,ses-03->ses-01,ok
fbcnet,3,sub-007,ses-03,ses-01,ses-03->ses-01,ok
fbcnet,4,sub-007,ses-03,ses-01,ses-03->ses-01,ok
eegnet,0,sub-007,ses-03,ses-02,ses-03->ses-02,ok
eegnet,1,sub-007,ses-03,ses-02,ses-03->ses-02,ok
eegnet,2,sub-007,ses-03,ses-02,ses-03->ses-02,ok
eegnet,3,sub-007,ses-03,ses-02,ses-03->ses-02,ok
eegnet,4,sub-007,ses-03,ses-02,ses-03->ses-02,ok
deepconvnet,0,sub-007,ses-03,ses-02,ses-03->ses-02,ok
deepconvnet,1,sub-007,ses-03,ses-02,ses-03->ses-02,ok
deepconvnet,2,sub-007,ses-03,ses-02,ses-03->ses-02,ok
deepconvnet,3,sub-007,ses-03,ses-02,ses-03->ses-02,ok
deepconvnet,4,sub-007,ses-03,ses-02,ses-03->ses-02,ok
fbcnet,0,sub-007,ses-03,ses-02,ses-03->ses-02,ok
fbcnet,1,sub-007,ses-03,ses-02,ses-03->ses-02,ok
fbcnet,2,sub-007,ses-03,ses-02,ses-03->ses-02,ok
fbcnet,3,sub-007,ses-03,ses-02,ses-03->ses-02,ok
fbcnet,4,sub-007,ses-03,ses-02,ses-03->ses-02,ok
eegnet,0,sub-007,ses-03,ses-04,ses-03->ses-04,ok
eegnet,1,sub-007,ses-03,ses-04,ses-03->ses-04,ok
eegnet,2,sub-007,ses-03,ses-04,ses-03->ses-04,ok
eegnet,3,sub-007,ses-03,ses-04,ses-03->ses-04,ok
eegnet,4,sub-007,ses-03,ses-04,ses-03->ses-04,ok
deepconvnet,0,sub-007,ses-03,ses-04,ses-03->ses-04,ok
deepconvnet,1,sub-007,ses-03,ses-04,ses-03->ses-04,ok
deepconvnet,2,sub-007,ses-03,ses-04,ses-03->ses-04,ok
deepconvnet,3,sub-007,ses-03,ses-04,ses-03->ses-04,ok
deepconvnet,4,sub-007,ses-03,ses-04,ses-03->ses-04,ok
fbcnet,0,sub-007,ses-03,ses-04,ses-03->ses-04,ok
fbcnet,1,sub-007,ses-03,ses-04,ses-03->ses-04,ok
fbcnet,2,sub-007,ses-03,ses-04,ses-03->ses-04,ok
fbcnet,3,sub-007,ses-03,ses-04,ses-03->ses-04,ok
fbcnet,4,sub-007,ses-03,ses-04,ses-03->ses-04,ok
eegnet,0,sub-007,ses-03,ses-05,ses-03->ses-05,ok
eegnet,1,sub-007,ses-03,ses-05,ses-03->ses-05,ok
eegnet,2,sub-007,ses-03,ses-05,ses-03->ses-05,ok
eegnet,3,sub-007,ses-03,ses-05,ses-03->ses-05,ok
eegnet,4,sub-007,ses-03,ses-05,ses-03->ses-05,ok
deepconvnet,0,sub-007,ses-03,ses-05,ses-03->ses-05,ok
deepconvnet,1,sub-007,ses-03,ses-05,ses-03->ses-05,ok
deepconvnet,2,sub-007,ses-03,ses-05,ses-03->ses-05,ok
deepconvnet,3,sub-007,ses-03,ses-05,ses-03->ses-05,ok
deepconvnet,4,sub-007,ses-03,ses-05,ses-03->ses-05,ok
fbcnet,0,sub-007,ses-03,ses-05,ses-03->ses-05,ok
fbcnet,1,sub-007,ses-03,ses-05,ses-03->ses-05,ok
fbcnet,2,sub-007,ses-03,ses-05,ses-03->ses-05,ok
fbcnet,3,sub-007,ses-03,ses-05,ses-03->ses-05,ok
fbcnet,4,sub-007,ses-03,ses-05,ses-03->ses-05,ok
eegnet,0,sub-007,ses-04,ses-01,ses-04->ses-01,ok
eegnet,1,sub-007,ses-04,ses-01,ses-04->ses-01,ok
eegnet,2,sub-007,ses-04,ses-01,ses-04->ses-01,ok
eegnet,3,sub-007,ses-04,ses-01,ses-04->ses-01,ok
eegnet,4,sub-007,ses-04,ses-01,ses-04->ses-01,ok
deepconvnet,0,sub-007,ses-04,ses-01,ses-04->ses-01,ok
deepconvnet,1,sub-007,ses-04,ses-01,ses-04->ses-01,ok
deepconvnet,2,sub-007,ses-04,ses-01,ses-04->ses-01,ok
deepconvnet,3,sub-007,ses-04,ses-01,ses-04->ses-01,ok
deepconvnet,4,sub-007,ses-04,ses-01,ses-04->ses-01,ok
fbcnet,0,sub-007,ses-04,ses-01,ses-04->ses-01,ok
fbcnet,1,sub-007,ses-04,ses-01,ses-04->ses-01,ok
fbcnet,2,sub-007,ses-04,ses-01,ses-04->ses-01,ok
fbcnet,3,sub-007,ses-04,ses-01,ses-04->ses-01,ok
fbcnet,4,sub-007,ses-04,ses-01,ses-04->ses-01,ok
eegnet,0,sub-007,ses-04,ses-02,ses-04->ses-02,ok
eegnet,1,sub-007,ses-04,ses-02,ses-04->ses-02,ok
eegnet,2,sub-007,ses-04,ses-02,ses-04->ses-02,ok
eegnet,3,sub-007,ses-04,ses-02,ses-04->ses-02,ok
eegnet,4,sub-007,ses-04,ses-02,ses-04->ses-02,ok
deepconvnet,0,sub-007,ses-04,ses-02,ses-04->ses-02,ok
deepconvnet,1,sub-007,ses-04,ses-02,ses-04->ses-02,ok
deepconvnet,2,sub-007,ses-04,ses-02,ses-04->ses-02,ok
deepconvnet,3,sub-007,ses-04,ses-02,ses-04->ses-02,ok
deepconvnet,4,sub-007,ses-04,ses-02,ses-04->ses-02,ok
fbcnet,0,sub-007,ses-04,ses-02,ses-04->ses-02,ok
fbcnet,1,sub-007,ses-04,ses-02,ses-04->ses-02,ok
fbcnet,2,sub-007,ses-04,ses-02,ses-04->ses-02,ok
fbcnet,3,sub-007,ses-04,ses-02,ses-04->ses-02,ok
fbcnet,4,sub-007,ses-04,ses-02,ses-04->ses-02,ok
eegnet,0,sub-007,ses-04,ses-03,ses-04->ses-03,ok
eegnet,1,sub-007,ses-04,ses-03,ses-04->ses-03,ok
eegnet,2,sub-007,ses-04,ses-03,ses-04->ses-03,ok
eegnet,3,sub-007,ses-04,ses-03,ses-04->ses-03,ok
eegnet,4,sub-007,ses-04,ses-03,ses-04->ses-03,ok
deepconvnet,0,sub-007,ses-04,ses-03,ses-04->ses-03,ok
deepconvnet,1,sub-007,ses-04,ses-03,ses-04->ses-03,ok
deepconvnet,2,sub-007,ses-04,ses-03,ses-04->ses-03,ok
deepconvnet,3,sub-007,ses-04,ses-03,ses-04->ses-03,ok
deepconvnet,4,sub-007,ses-04,ses-03,ses-04->ses-03,ok
fbcnet,0,sub-007,ses-04,ses-03,ses-04->ses-03,ok
fbcnet,1,sub-007,ses-04,ses-03,ses-04->ses-03,ok
fbcnet,2,sub-007,ses-04,ses-03,ses-04->ses-03,ok
fbcnet,3,sub-007,ses-04,ses-03,ses-04->ses-03,ok
fbcnet,4,sub-007,ses-04,ses-03,ses-04->ses-03,ok
eegnet,0,sub-007,ses-04,ses-05,ses-04->ses-05,ok
eegnet,1,sub-007,ses-04,ses-05,ses-04->ses-05,ok
eegnet,2,sub-007,ses-04,ses-05,ses-04->ses-05,ok
eegnet,3,sub-007,ses-04,ses-05,ses-04->ses-05,ok
eegnet,4,sub-007,ses-04,ses-05,ses-04->ses-05,ok
deepconvnet,0,sub-007,ses-04,ses-05,ses-04->ses-05,ok
deepconvnet,1,sub-007,ses-04,ses-05,ses-04->ses-05,ok
deepconvnet,2,sub-007,ses-04,ses-05,ses-04->ses-05,ok
deepconvnet,3,sub-007,ses-04,ses-05,ses-04->ses-05,ok
deepconvnet,4,sub-007,ses-04,ses-05,ses-04->ses-05,ok
fbcnet,0,sub-007,ses-04,ses-05,ses-04->ses-05,ok
fbcnet,1,sub-007,ses-04,ses-05,ses-04->ses-05,ok
fbcnet,2,sub-007,ses-04,ses-05,ses-04->ses-05,ok
fbcnet,3,sub-007,ses-04,ses-05,ses-04->ses-05,ok
fbcnet,4,sub-007,ses-04,ses-05,ses-04->ses-05,ok
eegnet,0,sub-007,ses-05,ses-01,ses-05->ses-01,ok
eegnet,1,sub-007,ses-05,ses-01,ses-05->ses-01,ok
eegnet,2,sub-007,ses-05,ses-01,ses-05->ses-01,ok
eegnet,3,sub-007,ses-05,ses-01,ses-05->ses-01,ok
eegnet,4,sub-007,ses-05,ses-01,ses-05->ses-01,ok
deepconvnet,0,sub-007,ses-05,ses-01,ses-05->ses-01,ok
deepconvnet,1,sub-007,ses-05,ses-01,ses-05->ses-01,ok
deepconvnet,2,sub-007,ses-05,ses-01,ses-05->ses-01,ok
deepconvnet,3,sub-007,ses-05,ses-01,ses-05->ses-01,ok
deepconvnet,4,sub-007,ses-05,ses-01,ses-05->ses-01,ok
fbcnet,0,sub-007,ses-05,ses-01,ses-05->ses-01,ok
fbcnet,1,sub-007,ses-05,ses-01,ses-05->ses-01,ok
fbcnet,2,sub-007,ses-05,ses-01,ses-05->ses-01,ok
fbcnet,3,sub-007,ses-05,ses-01,ses-05->ses-01,ok
fbcnet,4,sub-007,ses-05,ses-01,ses-05->ses-01,ok
eegnet,0,sub-007,ses-05,ses-02,ses-05->ses-02,ok
eegnet,1,sub-007,ses-05,ses-02,ses-05->ses-02,ok
eegnet,2,sub-007,ses-05,ses-02,ses-05->ses-02,ok
eegnet,3,sub-007,ses-05,ses-02,ses-05->ses-02,ok
eegnet,4,sub-007,ses-05,ses-02,ses-05->ses-02,ok
deepconvnet,0,sub-007,ses-05,ses-02,ses-05->ses-02,ok
deepconvnet,1,sub-007,ses-05,ses-02,ses-05->ses-02,ok
deepconvnet,2,sub-007,ses-05,ses-02,ses-05->ses-02,ok
deepconvnet,3,sub-007,ses-05,ses-02,ses-05->ses-02,ok
deepconvnet,4,sub-007,ses-05,ses-02,ses-05->ses-02,ok
fbcnet,0,sub-007,ses-05,ses-02,ses-05->ses-02,ok
fbcnet,1,sub-007,ses-05,ses-02,ses-05->ses-02,ok
fbcnet,2,sub-007,ses-05,ses-02,ses-05->ses-02,ok
fbcnet,3,sub-007,ses-05,ses-02,ses-05->ses-02,ok
fbcnet,4,sub-007,ses-05,ses-02,ses-05->ses-02,ok
eegnet,0,sub-007,ses-05,ses-03,ses-05->ses-03,ok
eegnet,1,sub-007,ses-05,ses-03,ses-05->ses-03,ok
eegnet,2,sub-007,ses-05,ses-03,ses-05->ses-03,ok
eegnet,3,sub-007,ses-05,ses-03,ses-05->ses-03,ok
eegnet,4,sub-007,ses-05,ses-03,ses-05->ses-03,ok
deepconvnet,0,sub-007,ses-05,ses-03,ses-05->ses-03,ok
deepconvnet,1,sub-007,ses-05,ses-03,ses-05->ses-03,ok
deepconvnet,2,sub-007,ses-05,ses-03,ses-05->ses-03,ok
deepconvnet,3,sub-007,ses-05,ses-03,ses-05->ses-03,ok
deepconvnet,4,sub-007,ses-05,ses-03,ses-05->ses-03,ok
fbcnet,0,sub-007,ses-05,ses-03,ses-05->ses-03,ok
fbcnet,1,sub-007,ses-05,ses-03,ses-05->ses-03,ok
fbcnet,2,sub-007,ses-05,ses-03,ses-05->ses-03,ok
fbcnet,3,sub-007,ses-05,ses-03,ses-05->ses-03,ok
fbcnet,4,sub-007,ses-05,ses-03,ses-05->ses-03,ok
eegnet,0,sub-007,ses-05,ses-04,ses-05->ses-04,ok
eegnet,1,sub-007,ses-05,ses-04,ses-05->ses-04,ok
eegnet,2,sub-007,ses-05,ses-04,ses-05->ses-04,ok
eegnet,3,sub-007,ses-05,ses-04,ses-05->ses-04,ok
eegnet,4,sub-007,ses-05,ses-04,ses-05->ses-04,ok
deepconvnet,0,sub-007,ses-05,ses-04,ses-05->ses-04,ok
deepconvnet,1,sub-007,ses-05,ses-04,ses-05->ses-04,ok
deepconvnet,2,sub-007,ses-05,ses-04,ses-05->ses-04,ok
deepconvnet,3,sub-007,ses-05,ses-04,ses-05->ses-04,ok
deepconvnet,4,sub-007,ses-05,ses-04,ses-05->ses-04,ok
fbcnet,0,sub-007,ses-05,ses-04,ses-05->ses-04,ok
fbcnet,1,sub-007,ses-05,ses-04,ses-05->ses-04,ok
fbcnet,2,sub-007,ses-05,ses-04,ses-05->ses-04,ok
fbcnet,3,sub-007,ses-05,ses-04,ses-05->ses-04,ok
fbcnet,4,sub-007,ses-05,ses-04,ses-05->ses-04,ok
eegnet,0,sub-008,ses-01,ses-02,ses-01->ses-02,ok
eegnet,1,sub-008,ses-01,ses-02,ses-01->ses-02,ok
eegnet,2,sub-008,ses-01,ses-02,ses-01->ses-02,ok
eegnet,3,sub-008,ses-01,ses-02,ses-01->ses-02,ok
eegnet,4,sub-008,ses-01,ses-02,ses-01->ses-02,ok
deepconvnet,0,sub-008,ses-01,ses-02,ses-01->ses-02,ok
deepconvnet,1,sub-008,ses-01,ses-02,ses-01->ses-02,ok
deepconvnet,2,sub-008,ses-01,ses-02,ses-01->ses-02,ok
deepconvnet,3,sub-008,ses-01,ses-02,ses-01->ses-02,ok
deepconvnet,4,sub-008,ses-01,ses-02,ses-01->ses-02,ok
fbcnet,0,sub-008,ses-01,ses-02,ses-01->ses-02,ok
fbcnet,1,sub-008,ses-01,ses-02,ses-01->ses-02,ok
fbcnet,2,sub-008,ses-01,ses-02,ses-01->ses-02,ok
fbcnet,3,sub-008,ses-01,ses-02,ses-01->ses-02,ok
fbcnet,4,sub-008,ses-01,ses-02,ses-01->ses-02,ok
eegnet,0,sub-008,ses-01,ses-03,ses-01->ses-03,ok
eegnet,1,sub-008,ses-01,ses-03,ses-01->ses-03,ok
eegnet,2,sub-008,ses-01,ses-03,ses-01->ses-03,ok
eegnet,3,sub-008,ses-01,ses-03,ses-01->ses-03,ok
eegnet,4,sub-008,ses-01,ses-03,ses-01->ses-03,ok
deepconvnet,0,sub-008,ses-01,ses-03,ses-01->ses-03,ok
deepconvnet,1,sub-008,ses-01,ses-03,ses-01->ses-03,ok
deepconvnet,2,sub-008,ses-01,ses-03,ses-01->ses-03,ok
deepconvnet,3,sub-008,ses-01,ses-03,ses-01->ses-03,ok
deepconvnet,4,sub-008,ses-01,ses-03,ses-01->ses-03,ok
fbcnet,0,sub-008,ses-01,ses-03,ses-01->ses-03,ok
fbcnet,1,sub-008,ses-01,ses-03,ses-01->ses-03,ok
fbcnet,2,sub-008,ses-01,ses-03,ses-01->ses-03,ok
fbcnet,3,sub-008,ses-01,ses-03,ses-01->ses-03,ok
fbcnet,4,sub-008,ses-01,ses-03,ses-01->ses-03,ok
eegnet,0,sub-008,ses-01,ses-04,ses-01->ses-04,ok
eegnet,1,sub-008,ses-01,ses-04,ses-01->ses-04,ok
eegnet,2,sub-008,ses-01,ses-04,ses-01->ses-04,ok
eegnet,3,sub-008,ses-01,ses-04,ses-01->ses-04,ok
eegnet,4,sub-008,ses-01,ses-04,ses-01->ses-04,ok
deepconvnet,0,sub-008,ses-01,ses-04,ses-01->ses-04,ok
deepconvnet,1,sub-008,ses-01,ses-04,ses-01->ses-04,ok
deepconvnet,2,sub-008,ses-01,ses-04,ses-01->ses-04,ok
deepconvnet,3,sub-008,ses-01,ses-04,ses-01->ses-04,ok
deepconvnet,4,sub-008,ses-01,ses-04,ses-01->ses-04,ok
fbcnet,0,sub-008,ses-01,ses-04,ses-01->ses-04,ok
fbcnet,1,sub-008,ses-01,ses-04,ses-01->ses-04,ok
fbcnet,2,sub-008,ses-01,ses-04,ses-01->ses-04,ok
fbcnet,3,sub-008,ses-01,ses-04,ses-01->ses-04,ok
fbcnet,4,sub-008,ses-01,ses-04,ses-01->ses-04,ok
eegnet,0,sub-008,ses-01,ses-05,ses-01->ses-05,ok
eegnet,1,sub-008,ses-01,ses-05,ses-01->ses-05,ok
eegnet,2,sub-008,ses-01,ses-05,ses-01->ses-05,ok
eegnet,3,sub-008,ses-01,ses-05,ses-01->ses-05,ok
eegnet,4,sub-008,ses-01,ses-05,ses-01->ses-05,ok
deepconvnet,0,sub-008,ses-01,ses-05,ses-01->ses-05,ok
deepconvnet,1,sub-008,ses-01,ses-05,ses-01->ses-05,ok
deepconvnet,2,sub-008,ses-01,ses-05,ses-01->ses-05,ok
deepconvnet,3,sub-008,ses-01,ses-05,ses-01->ses-05,ok
deepconvnet,4,sub-008,ses-01,ses-05,ses-01->ses-05,ok
fbcnet,0,sub-008,ses-01,ses-05,ses-01->ses-05,ok
fbcnet,1,sub-008,ses-01,ses-05,ses-01->ses-05,ok
fbcnet,2,sub-008,ses-01,ses-05,ses-01->ses-05,ok
fbcnet,3,sub-008,ses-01,ses-05,ses-01->ses-05,ok
fbcnet,4,sub-008,ses-01,ses-05,ses-01->ses-05,ok
eegnet,0,sub-008,ses-02,ses-01,ses-02->ses-01,ok
eegnet,1,sub-008,ses-02,ses-01,ses-02->ses-01,ok
eegnet,2,sub-008,ses-02,ses-01,ses-02->ses-01,ok
eegnet,3,sub-008,ses-02,ses-01,ses-02->ses-01,ok
eegnet,4,sub-008,ses-02,ses-01,ses-02->ses-01,ok
deepconvnet,0,sub-008,ses-02,ses-01,ses-02->ses-01,ok
deepconvnet,1,sub-008,ses-02,ses-01,ses-02->ses-01,ok
deepconvnet,2,sub-008,ses-02,ses-01,ses-02->ses-01,ok
deepconvnet,3,sub-008,ses-02,ses-01,ses-02->ses-01,ok
deepconvnet,4,sub-008,ses-02,ses-01,ses-02->ses-01,ok
fbcnet,0,sub-008,ses-02,ses-01,ses-02->ses-01,ok
fbcnet,1,sub-008,ses-02,ses-01,ses-02->ses-01,ok
fbcnet,2,sub-008,ses-02,ses-01,ses-02->ses-01,ok
fbcnet,3,sub-008,ses-02,ses-01,ses-02->ses-01,ok
fbcnet,4,sub-008,ses-02,ses-01,ses-02->ses-01,ok
eegnet,0,sub-008,ses-02,ses-03,ses-02->ses-03,ok
eegnet,1,sub-008,ses-02,ses-03,ses-02->ses-03,ok
eegnet,2,sub-008,ses-02,ses-03,ses-02->ses-03,ok
eegnet,3,sub-008,ses-02,ses-03,ses-02->ses-03,ok
eegnet,4,sub-008,ses-02,ses-03,ses-02->ses-03,ok
deepconvnet,0,sub-008,ses-02,ses-03,ses-02->ses-03,ok
deepconvnet,1,sub-008,ses-02,ses-03,ses-02->ses-03,ok
deepconvnet,2,sub-008,ses-02,ses-03,ses-02->ses-03,ok
deepconvnet,3,sub-008,ses-02,ses-03,ses-02->ses-03,ok
deepconvnet,4,sub-008,ses-02,ses-03,ses-02->ses-03,ok
fbcnet,0,sub-008,ses-02,ses-03,ses-02->ses-03,ok
fbcnet,1,sub-008,ses-02,ses-03,ses-02->ses-03,ok
fbcnet,2,sub-008,ses-02,ses-03,ses-02->ses-03,ok
fbcnet,3,sub-008,ses-02,ses-03,ses-02->ses-03,ok
fbcnet,4,sub-008,ses-02,ses-03,ses-02->ses-03,ok
